Elapsed Time (s),Speed (kph)
385,27.4
386,26.6
387,26.1
388,25.7
389,24.9
390,23.8
391,22.4
392,21.3
393,20.7
394,20.1
395,19.2
396,17.6
397,16.2
398,15.3
399,14.7
400,14.2
401,13.7
402,13.4
403,13
404,12.8
405,12.5
406,12.1
407,11.1
408,9.6
409,7.4
410,4.9
411,2.9
412,1.2
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,1.4
482,2.5
483,5.2
484,7.9
485,10.3
486,12.8
487,15.1
488,17.4
489,19.6
490,21.8
491,24.4
492,26.5
493,28.8
494,30.6
495,32
496,32.8
497,33.3
498,34
499,35
500,36.1
501,36.6
502,36.9
503,37.1
504,37.6
505,38
506,38.1
507,37.7
508,36.9
509,36.1
510,35.7
511,35.9
512,36.5
513,37.8
514,39.2
515,40.6
516,41.9
517,42.9
518,43.6
519,44.1
520,44.5
521,44.9
522,45.4
523,44.5
524,42.5
525,39.5
526,36.5
527,33.5
528,30.4
529,27
530,23.6
531,21
532,20.5
533,22.3
534,24.8
535,27.9
536,30.3
537,33.2
538,35.4
539,38
540,40.1
541,42.7
542,44.5
543,46.3
544,47.6
545,48.8
546,49.7
547,50.6
548,51.4
549,51.4
550,50.2
551,47.8
552,44.7
553,41.5
554,38.2
555,35.4
556,32.6
557,29.7
558,26.5
559,23.4
560,20.4
561,17.5
562,14.4
563,11.6
564,8.4
565,5.6
566,2.6
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,1.6
602,3.6
603,6.3
604,9
605,11.8
606,14.2
607,16.6
608,18.5
609,20.8
610,23.4
611,26.9
612,30.3
613,32.8
614,34.1
615,34.2
616,33.6
617,32.1
618,30
619,27.5
620,25.1
621,22.8
622,20.5
623,17.9
624,15.1
625,13.4
626,12.8
627,13.7
628,16
629,18.1
630,20.8
631,23.7
632,26.5
633,29.3
634,32
635,34.5
636,36.8
637,38.6
638,39.8
639,40.6
640,41.1
641,41.9
642,42.8
643,44.3
644,45.7
645,47.4
646,48.9
647,50.6
648,52
649,53.7
650,55
651,56.8
652,58
653,59.8
654,61.1
655,62.4
656,63
657,63.5
658,63
659,62
660,60.4
661,58.6
662,56.7
663,55
664,53.7
665,52.7
666,51.9
667,51.4
668,51
669,50.7
670,50.6
671,50.8
672,51.2
673,51.7
674,52.3
675,53.1
676,53.8
677,54.5
678,55.1
679,55.9
680,56.5
681,57.1
682,57.8
683,58.5
684,59.3
685,60.2
686,61.3
687,62.4
688,63.4
689,64.4
690,65.4
691,66.3
692,67.2
693,68
694,68.8
695,69.5
696,70.1
697,70.6
698,71
699,71.6
700,72.2
701,72.8
702,73.5
703,74.1
704,74.3
705,74.3
706,73.7
707,72.6
708,71
709,69.2
710,67.1
711,65.3
712,63.8
713,62.6
714,61.7
715,61.2
716,60.8
717,60.7
718,60.9
719,61.2
720,61.7
721,62.1
722,62.2
723,62.2
724,61.6
725,60.2
726,58.5
727,56.5
728,54.6
729,53.2
730,52.6
731,52.8
732,53.5
733,54.4
734,55.1
735,55.6
736,55.5
737,54.9
738,54.1
739,53.2
740,52.1
741,50.8
742,49.4
743,47.7
744,45.6
745,43.5
746,41.4
747,38.9
748,36
749,32.7
750,29.4
751,26.2
752,23.5
753,21.7
754,20.7
755,20.2
756,19.9
757,19.5
758,18.5
759,17.2
760,15.8
761,14.8
762,14.4
763,14.9
764,15.9
765,17.1
766,18.3
767,19.4
768,20.4
769,21.2
770,21.7
771,21.7
772,21.3
773,20.3
774,19.1
775,17.9
776,16.9
777,16.1
778,15.6
779,15.3
780,15.2
781,15.1
782,15
783,15
784,15
785,15
786,15
787,14.8
788,14.5
789,14.1
790,13.5
791,13
792,12.7
793,12.5
794,12.5
795,12.6
796,13
797,13.6
798,14.6
799,15.7
800,17.1
801,18.7
802,20.2
803,21.9
804,23.6
805,25.4
806,27.1
807,28.9
808,30.4
809,32
810,33.4
811,35
812,36.4
813,38.1
814,39.7
815,41.6
816,43.3
817,45.1
818,46.9
819,48.7
820,50.5
821,52.4
822,54.1
823,55.7
824,57
825,58.2
826,59.3
827,60.1
828,60.9
829,61.6
830,62.2
831,62.7
832,63.2
833,63.4
834,63.5
835,63.5
836,63.7
837,64
838,64.6
839,65.3
840,66.2
841,66.9
842,67.8
843,68.6
844,69.4
845,70.1
846,70.9
847,71.7
848,72.5
849,73.2
850,73.8
851,74.4
852,74.7
853,74.7
854,74.6
855,74.2
856,73.5
857,72.6
858,71.8
859,71
860,70.1
861,69.4
862,68.9
863,68.4
864,67.9
865,67.1
866,65.8
867,63.9
868,61.4
869,58.4
870,55.4
871,52.4
872,50
873,48.3
874,47.3
875,46.8
876,46.9
877,47.1
878,47.5
879,47.8
880,48.3
881,48.8
882,49.5
883,50.2
884,50.8
885,51.4
886,51.8
887,51.9
888,51.7
889,51.2
890,50.4
891,49.2
892,47.7
893,46.3
894,45.1
895,44.2
896,43.7
897,43.4
898,43.1
899,42.5
900,41.8
901,41.1
902,40.3
903,39.7
904,39.3
905,39.2
906,39.3
907,39.6
908,40
909,40.7
910,41.4
911,42.2
912,43.1
913,44.1
914,44.8
915,45.5
916,45.8
917,46.2
918,46.4
919,46.5
920,46.5
921,46.6
922,46.5
923,46.5
924,46.4
925,46.4
926,46.4
927,46.5
928,46.4
929,46.6
930,46.6
931,46.8
932,46.7
933,46.9
934,46.9
935,46.9
936,46.8
937,47
938,46.9
939,46.9
940,46.9
941,46.8
942,46.2
943,45.6
944,44.9
945,44.3
946,43.8
947,43.6
948,43.5
949,43.6
950,43.6
951,43.5
952,43.5
953,43.5
954,43.4
955,43.2
956,43
957,42.7
958,42.4
959,42.3
960,42.2
961,42.1
962,42.1
963,41.9
964,41.7
965,41.5
966,41.3
967,41.2
968,41
969,40.9
970,40.6
971,39.7
972,37.5
973,35.5
974,33.3
975,31.4
976,28.4
977,25.3
978,22.4
979,19.1
980,15.5
981,12
982,8.8
983,6
984,3.6
985,1.6
986,0
987,0
988,0
989,0
990,0
991,0
992,0
993,0
994,0
995,0
996,0
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0
1025,0
1026,0
1027,1.1
1028,3
1029,5.7
1030,8.4
1031,11.1
1032,14
1033,17
1034,20.1
1035,22.7
1036,23.6
1037,24.5
1038,24.8
1039,24.7
1040,24.6
1041,24.8
1042,25
1043,25.3
1044,25.6
1045,26
1046,26.1
1047,26.3
1048,26.6
1049,26.9
1050,27.3
1051,27.7
1052,28.1
1053,28.5
1054,29.3
1055,30.4
1056,31.8
1057,33.7
1058,35.8
1059,37.8
1060,39.5
1061,40.8
1062,41.8
1063,42.4
1064,43
1065,43.4
1066,44
1067,44.5
1068,45
1069,45.5
1070,46.1
1071,46.5
1072,46.9
1073,47.4
1074,48
1075,48.5
1076,49.1
1077,49.7
1078,50.2
1079,50.5
1080,50.8
1081,51.1
1082,51.3
1083,51.3
1084,51.3
1085,51.3
1086,51.2
1087,51.1
1088,51.2
1089,51.4
1090,51.6
1091,51.9
1092,52.1
1093,52.3
1094,52.4
1095,52.4
1096,52.2
1097,51.9
1098,51.6
1099,51.3
1100,51
1101,50.9
1102,51
1103,51.5
1104,52.3
1105,53.5
1106,55
1107,56.8
1108,58.8
1109,60.9
1110,63
1111,65
1112,66.9
1113,68.6
1114,70.1
1115,71.5
1116,72.8
1117,73.9
1118,74.9
1119,75.8
1120,76.6
1121,77.2
1122,77.7
1123,78.1
1124,78.3
1125,78.5
1126,78.5
1127,78.5
1128,78.6
1129,78.6
1130,78.8
1131,79
1132,79.4
1133,79.7
1134,80.2
1135,80.5
1136,80.9
1137,81.1
1138,81.2
1139,81.3
1140,81.2
1141,81
1142,80.6
1143,80
1144,79.1
1145,78
1146,76.8
1147,75.5
1148,74.1
1149,72.9
1150,71.9
1151,71.2
1152,70.9
1153,71
1154,71.5
1155,72.3
1156,73.2
1157,74.1
1158,74.9
1159,75.4
1160,75.5
1161,75.2
1162,74.5
1163,73.3
1164,71.7
1165,69.9
1166,67.9
1167,65.7
1168,63.5
1169,61.2
1170,59
1171,56.8
1172,54.7
1173,52.7
1174,50.9
1175,49.4
1176,48.1
1177,47.1
1178,46.5
1179,46.3
1180,46.5
1181,47.2
1182,48.3
1183,49.7
1184,51.3
1185,53
1186,54.9
1187,56.7
1188,58.6
1189,60.2
1190,61.6
1191,62.6
1192,63.1
1193,63.1
1194,62.8
1195,62.2
1196,61.4
1197,60.7
1198,60.1
1199,59.8
1200,59.9
1201,60.4
1202,61.4
1203,62.7
1204,64.3
1205,66.1
1206,67.9
1207,69.7
1208,71.4
1209,73.1
1210,74.7
1211,76.2
1212,77.5
1213,78.6
1214,79.7
1215,80.6
1216,81.5
1217,82.2
1218,83
1219,83.7
1220,84.4
1221,84.9
1222,85.1
1223,85.2
1224,84.9
1225,84.4
1226,83.6
1227,82.7
1228,81.5
1229,80.1
1230,78.7
1231,77.4
1232,76.2
1233,75.4
1234,74.8
1235,74.3
1236,73.8
1237,73.2
1238,72.4
1239,71.6
1240,70.8
1241,70.1
1242,69.6
1243,69.3
1244,69.1
1245,69
1246,68.8
1247,68.6
1248,68.4
1249,68.1
1250,67.8
1251,67.5
1252,67.1
1253,66.7
1254,66.3
1255,65.8
1256,65.5
1257,65.1
1258,64.9
1259,64.6
1260,64.4
1261,64.1
1262,63.8
1263,63.5
1264,63.2
1265,62.8
1266,62.4
1267,62
1268,61.4
1269,60.8
1270,59.8
1271,58.6
1272,56.9
1273,54.8
1274,52.4
1275,49.9
1276,47.3
1277,44.8
1278,42.6
1279,40.7
1280,39.3
1281,38.4
1282,38.1
1283,38.1
1284,38.5
1285,39.1
1286,39.9
1287,40.8
1288,41.7
1289,42.4
1290,43.1
1291,43.6
1292,44.2
1293,44.8
1294,45.5
1295,46.3
1296,47.2
1297,48.1
1298,49.1
1299,50
1300,51
1301,51.9
1302,52.7
1303,53.4
1304,54.1
1305,54.8
1306,55.5
1307,56.3
1308,57.2
1309,58.2
1310,59.2
1311,60
1312,60.8
1313,61.5
1314,62.2
1315,62.9
1316,63.7
1317,64.4
1318,65.1
1319,65.9
1320,66.6
1321,67.1
1322,66.8
1323,65.6
1324,63.3
1325,60.2
1326,56.2
1327,52.2
1328,48.4
1329,45
1330,41.6
1331,38.6
1332,36.4
1333,34.8
1334,34.2
1335,34.7
1336,36.3
1337,38.5
1338,41
1339,43.7
1340,46.5
1341,49.1
1342,51.6
1343,53.9
1344,56
1345,57.9
1346,59.7
1347,61.2
1348,62.5
1349,63.5
1350,64.3
1351,65
1352,65.4
1353,65.7
1354,65.9
1355,65.9
1356,65.9
1357,65.8
1358,65.8
1359,65.8
1360,65.8
1361,65.8
1362,65.9
1363,66
1364,66
1365,66
1366,66
1367,66.1
1368,66.2
1369,66.3
1370,66.5
1371,66.7
1372,66.9
1373,67
1374,67.1
1375,67.1
1376,67
1377,66.9
1378,66.8
1379,66.7
1380,66.7
1381,66.8
1382,67
1383,67.4
1384,67.9
1385,68.6
1386,69.1
1387,69.5
1388,69.8
1389,69.9
1390,69.5
1391,68.9
1392,68.1
1393,67.4
1394,66.7
1395,66.3
1396,66.2
1397,66.3
1398,66.5
1399,66.7
1400,66.9
1401,67
1402,67.1
1403,67.1
1404,67
1405,66.9
1406,66.8
1407,66.7
1408,66.7
1409,66.8
1410,67
1411,67.3
1412,67.7
1413,68.1
1414,68.6
1415,69
1416,69.3
1417,69.3
1418,69.2
1419,68.8
1420,68.2
1421,67.6
1422,67.4
1423,67.2
1424,66.9
1425,66.3
1426,65.4
1427,64
1428,62.4
1429,60.6
1430,58.6
1431,56.7
1432,54.8
1433,53
1434,51.3
1435,49.6
1436,47.8
1437,45.5
1438,42.8
1439,39.8
1440,36.5
1441,33
1442,29.5
1443,25.8
1444,22.1
1445,18.6
1446,15.3
1447,12.4
1448,9.6
1449,6.6
1450,3.8
1451,1.6
1452,0
1453,0
1454,0
1455,0
1456,0
1457,0
1458,0
1459,0
1460,0
1461,0
1462,0
1463,0
1464,0
1465,0
1466,0
1467,0
1468,0
1469,0
1470,0
1471,0
1472,0
1473,0
1474,0
1475,0
1476,0
1477,0
